pump_id,building_id,tank_id,timestamp,status,current_amps,vibration_mm_s,temperature_celsius,flow_rate_lpm,pressure_psi
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-02 01:30:00,running,11.29,2.35,52.5,186.7,47.3
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-02 02:00:00,running,8.76,2.22,49.9,164.6,44.2
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-02 02:30:00,running,10.57,2.13,53.3,173.4,45.4
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-02 03:00:00,running,13.16,2.93,47.1,180.2,42.1
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-02 03:30:00,running,11.4,2.64,50.4,181.0,43.8
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-02 04:00:00,running,13.59,2.53,51.3,161.4,51.4
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-02 04:30:00,running,12.59,1.91,49.7,184.2,43.1
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-02 05:00:00,running,11.41,2.44,49.0,192.7,46.1
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-02 05:30:00,running,12.31,2.29,51.8,192.2,46.9
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-02 06:00:00,running,12.75,2.25,48.9,189.2,44.9
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-02 06:30:00,running,11.41,2.54,52.6,188.2,44.4
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-02 07:00:00,running,12.83,2.43,52.2,192.2,48.9
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-02 07:30:00,running,11.69,2.51,51.4,184.9,44.6
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-02 08:00:00,running,11.18,2.53,51.2,211.4,42.0
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-02 08:30:00,running,12.79,2.14,52.3,189.4,46.9
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-02 09:00:00,running,12.08,2.5,48.2,169.8,47.9
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-02 09:30:00,running,11.68,2.46,48.3,186.2,43.3
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-02 10:00:00,running,12.24,2.25,50.5,172.4,43.6
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-02 10:30:00,running,10.59,2.57,47.1,169.2,44.4
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-02 11:00:00,running,12.86,2.59,53.0,177.6,44.9
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-02 11:30:00,running,11.71,2.2,50.0,184.8,42.5
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-02 12:00:00,running,11.89,2.66,53.1,186.0,47.1
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-02 12:30:00,running,12.01,2.38,50.4,181.5,42.7
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-02 13:00:00,running,13.45,2.51,51.0,194.4,51.5
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-02 13:30:00,running,12.18,2.27,51.7,212.8,42.6
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-02 14:00:00,running,9.88,2.25,48.8,172.1,42.7
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-02 14:30:00,running,13.88,2.55,50.7,194.3,43.3
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-02 15:00:00,running,10.68,2.23,51.0,207.5,48.5
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-02 15:30:00,running,13.35,2.36,46.6,178.3,48.7
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-02 16:00:00,running,12.01,2.02,48.8,180.7,43.6
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-02 16:30:00,running,11.86,2.69,47.9,181.8,46.5
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-02 17:00:00,running,10.47,2.71,47.8,199.2,46.0
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-02 17:30:00,running,12.12,2.28,53.1,197.7,45.2
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-02 18:00:00,running,11.75,3.12,53.5,194.6,46.9
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-02 18:30:00,running,12.69,2.91,48.1,195.9,39.7
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-02 19:00:00,running,11.73,2.15,45.9,190.8,49.5
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-02 19:30:00,running,10.62,2.52,53.3,154.4,44.8
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-02 20:00:00,running,9.93,2.62,49.9,178.7,41.1
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-02 20:30:00,running,11.06,2.7,50.7,172.3,41.8
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-02 21:00:00,running,11.01,2.48,51.9,187.6,43.4
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-02 21:30:00,running,10.96,2.26,49.8,171.7,41.4
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-02 22:00:00,running,11.3,3.09,50.1,183.2,44.7
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-02 22:30:00,running,12.76,2.43,51.2,172.0,43.3
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-02 23:00:00,running,10.48,2.42,45.4,200.5,49.9
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-02 23:30:00,running,12.31,2.43,51.2,226.2,48.4
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-03 00:00:00,running,10.39,2.46,48.1,183.1,42.7
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-03 00:30:00,running,10.92,2.07,48.7,205.3,47.6
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-03 01:00:00,running,12.08,2.5,53.0,167.1,49.6
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-03 01:30:00,running,11.81,2.66,47.9,166.9,40.9
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-03 02:00:00,running,10.6,2.78,53.8,188.4,43.0
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-03 02:30:00,running,11.14,2.35,48.8,180.7,42.5
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-03 03:00:00,running,11.76,2.58,49.9,166.4,43.3
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-03 03:30:00,running,11.02,2.73,51.0,181.5,47.3
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-03 04:00:00,running,11.34,2.0,51.1,188.6,42.7
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-03 04:30:00,running,12.05,1.96,46.7,183.9,42.3
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-03 05:00:00,running,11.93,2.69,46.7,161.8,43.0
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-03 05:30:00,running,11.62,2.51,48.3,195.1,43.3
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-03 06:00:00,running,12.53,2.75,47.7,201.6,37.6
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-03 06:30:00,running,11.8,2.26,51.2,185.6,43.2
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-03 07:00:00,running,13.17,2.53,49.7,183.8,46.0
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-03 07:30:00,running,11.57,2.38,49.0,185.9,43.7
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-03 08:00:00,running,12.87,2.59,54.2,175.1,48.6
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-03 08:30:00,running,10.99,2.38,45.9,151.9,43.9
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-03 09:00:00,running,12.33,2.51,53.4,176.7,47.5
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-03 09:30:00,running,12.77,1.84,50.5,157.8,48.4
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-03 10:00:00,running,12.63,2.6,49.2,214.1,45.5
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-03 10:30:00,running,11.15,2.57,49.1,192.5,42.4
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-03 11:00:00,running,12.48,2.52,49.0,185.0,48.1
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-03 11:30:00,running,11.02,2.35,49.5,173.3,46.1
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-03 12:00:00,running,12.87,2.73,48.2,200.3,46.2
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-03 12:30:00,running,10.76,3.06,48.5,153.3,49.5
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-03 13:00:00,running,12.28,2.7,49.9,163.1,52.3
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-03 13:30:00,running,12.73,2.54,50.2,187.2,45.7
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-03 14:00:00,running,13.88,2.26,50.9,200.2,49.8
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-03 14:30:00,running,11.87,2.35,48.0,180.8,48.3
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-03 15:00:00,running,11.84,1.99,53.1,173.6,42.0
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-03 15:30:00,running,12.07,2.0,51.6,160.7,41.1
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-03 16:00:00,running,11.74,2.4,53.3,157.5,44.3
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-03 16:30:00,running,11.95,2.42,44.6,176.5,47.1
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-03 17:00:00,running,11.73,3.05,52.3,163.4,52.7
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-03 17:30:00,running,11.98,2.52,50.0,183.0,44.6
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-03 18:00:00,running,11.97,2.33,48.9,171.8,42.9
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-03 18:30:00,running,13.5,2.53,49.5,140.2,48.3
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-03 19:00:00,running,11.66,2.87,45.9,174.4,40.8
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-03 19:30:00,running,13.75,2.27,47.8,194.0,48.8
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-03 20:00:00,running,11.48,2.72,47.7,187.3,41.3
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-03 20:30:00,running,11.63,2.71,49.5,190.7,46.3
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-03 21:00:00,running,10.92,2.39,52.3,189.2,46.8
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-03 21:30:00,running,10.75,2.41,50.7,193.9,44.4
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-03 22:00:00,running,11.3,2.34,52.1,158.9,40.3
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-03 22:30:00,running,13.75,2.68,47.4,148.8,50.1
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-03 23:00:00,running,11.46,2.56,49.8,186.0,44.9
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-03 23:30:00,running,12.15,2.83,50.2,174.5,44.8
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-04 00:00:00,running,10.65,2.59,46.6,191.1,45.5
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-04 00:30:00,running,12.35,2.44,50.0,171.9,42.7
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-04 01:00:00,running,12.41,2.56,48.0,154.5,48.1
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-04 01:30:00,running,12.98,2.64,50.5,205.0,48.0
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-04 02:00:00,running,11.38,1.95,47.4,180.4,46.6
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-04 02:30:00,running,11.24,2.28,50.4,170.8,40.8
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-04 03:00:00,running,11.02,2.22,47.3,195.8,42.2
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-04 03:30:00,running,12.18,3.29,51.0,167.1,47.1
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-04 04:00:00,running,14.56,2.33,50.2,178.6,48.4
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-04 04:30:00,running,13.77,2.29,49.9,170.6,50.4
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-04 05:00:00,running,12.63,2.71,48.9,194.6,46.9
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-04 05:30:00,running,11.75,2.03,48.5,178.9,46.9
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-04 06:00:00,running,12.38,2.55,47.3,189.2,46.7
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-04 06:30:00,running,12.46,2.82,51.7,178.9,40.0
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-04 07:00:00,running,12.27,2.63,50.4,160.8,41.8
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-04 07:30:00,running,12.68,2.82,49.9,180.4,45.1
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-04 08:00:00,running,12.1,2.78,49.0,173.1,43.7
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-04 08:30:00,running,11.52,2.41,50.4,198.8,42.3
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-04 09:00:00,running,13.45,2.44,49.1,182.9,48.1
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-04 09:30:00,running,12.89,2.05,50.5,181.2,48.2
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-04 10:00:00,running,14.3,2.34,52.8,174.6,43.7
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-04 10:30:00,running,11.48,2.94,53.2,173.7,44.2
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-04 11:00:00,running,11.0,2.1,48.2,168.5,44.9
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-04 11:30:00,running,11.0,2.57,53.1,194.8,44.4
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-04 12:00:00,running,10.88,2.49,51.3,185.7,45.5
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-04 12:30:00,running,14.46,2.65,50.6,170.4,43.4
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-04 13:00:00,running,11.36,2.31,48.9,197.8,49.3
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-04 13:30:00,running,12.47,2.33,48.3,171.7,46.9
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-04 14:00:00,running,13.55,2.56,47.0,206.9,43.2
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-04 14:30:00,running,12.33,2.38,50.6,189.9,51.0
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-04 15:00:00,running,10.62,2.45,48.4,169.0,44.9
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-04 15:30:00,running,12.22,3.04,49.0,179.8,48.6
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-04 16:00:00,running,11.51,3.26,48.9,195.7,47.0
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-04 16:30:00,running,11.64,3.05,51.2,188.9,48.3
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-04 17:00:00,running,13.07,2.75,51.0,197.5,49.1
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-04 17:30:00,running,12.15,2.69,49.7,198.1,42.5
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-04 18:00:00,running,12.03,2.61,49.2,199.2,45.6
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-04 18:30:00,running,12.75,2.51,47.3,189.7,51.5
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-04 19:00:00,running,12.25,2.41,50.4,203.7,44.7
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-04 19:30:00,running,12.19,2.58,51.2,173.3,45.6
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-04 20:00:00,running,12.13,2.82,47.9,169.5,48.6
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-04 20:30:00,running,12.38,2.04,48.9,203.5,44.8
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-04 21:00:00,running,10.55,2.33,53.8,147.0,46.3
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-04 21:30:00,running,12.71,2.35,48.0,183.7,43.3
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-04 22:00:00,running,12.65,2.12,51.7,178.5,50.5
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-04 22:30:00,running,11.31,2.18,46.9,179.3,45.7
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-04 23:00:00,running,10.75,2.43,50.7,201.7,44.8
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-04 23:30:00,running,12.46,2.84,50.7,188.5,46.3
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-05 00:00:00,running,12.2,2.69,52.7,190.6,44.7
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-05 00:30:00,running,13.8,2.93,48.6,179.4,40.7
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-05 01:00:00,running,12.84,2.54,48.6,170.2,43.7
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-05 01:30:00,running,9.58,1.93,49.1,156.2,47.3
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-05 02:00:00,running,11.03,2.74,50.9,179.3,45.0
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-05 02:30:00,running,12.88,2.15,53.0,176.7,45.1
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-05 03:00:00,running,11.75,2.56,45.9,169.8,42.0
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-05 03:30:00,running,12.64,2.42,53.6,171.4,46.7
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-05 04:00:00,running,12.06,2.92,51.8,170.3,47.1
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-05 04:30:00,running,12.64,2.62,51.8,195.7,43.4
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-05 05:00:00,running,14.08,2.9,50.4,169.7,50.2
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-05 05:30:00,running,11.52,2.56,48.7,175.2,46.3
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-05 06:00:00,running,11.98,2.66,48.9,212.1,50.2
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-05 06:30:00,running,12.12,2.63,50.1,189.2,41.9
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-05 07:00:00,running,12.4,2.42,46.7,189.7,43.6
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-05 07:30:00,running,10.54,2.97,47.5,183.4,48.1
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-05 08:00:00,running,13.08,3.01,49.1,179.4,44.5
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-05 08:30:00,running,10.42,2.77,51.3,202.1,49.1
